KNN,0.658875552747947,1,uniform,ball_tree
KNN,0.658875552747947,1,uniform,kd_tree
KNN,0.6595072646873026,1,uniform,brute
KNN,0.658875552747947,1,distance,ball_tree
KNN,0.658875552747947,1,distance,kd_tree
KNN,0.6595072646873026,1,distance,brute
KNN,0.6974099810486418,5,uniform,ball_tree
KNN,0.6961465571699305,5,uniform,kd_tree
KNN,0.6974099810486418,5,uniform,brute
KNN,0.6929879974731522,5,distance,ball_tree
KNN,0.6929879974731522,5,distance,kd_tree
KNN,0.6923562855337966,5,distance,brute
KNN,0.7201516108654453,9,uniform,ball_tree
KNN,0.7195198989260897,9,uniform,kd_tree
KNN,0.7207833228048011,9,uniform,brute
KNN,0.7030953885028427,9,distance,ball_tree
KNN,0.7030953885028427,9,distance,kd_tree
KNN,0.7030953885028427,9,distance,brute
KNN,0.7327858496525584,13,uniform,ball_tree
KNN,0.7327858496525584,13,uniform,kd_tree
KNN,0.7327858496525584,13,uniform,brute
KNN,0.7113076437144662,13,distance,ball_tree
KNN,0.7113076437144662,13,distance,kd_tree
KNN,0.7113076437144662,13,distance,brute
KNN,0.7346809854706254,17,uniform,ball_tree
KNN,0.7346809854706254,17,uniform,kd_tree
KNN,0.7346809854706254,17,uniform,brute
KNN,0.7169930511686671,17,distance,ball_tree
KNN,0.7169930511686671,17,distance,kd_tree
KNN,0.7169930511686671,17,distance,brute
DTree,0.6860391661402401,gini,best,10,327734497
DTree,0.6860391661402401,gini,best,10,493433390
DTree,0.6854074542008844,gini,best,10,1659438699
DTree,0.6929879974731522,gini,best,10,278355678
DTree,0.689829437776374,gini,best,10,116985373
DTree,0.6835123183828175,gini,best,10,371459135
DTree,0.6923562855337966,gini,best,10,668350059
DTree,0.6891977258370183,gini,best,10,1059532695
DTree,0.6822488945041061,gini,best,10,443551874
DTree,0.6835123183828175,gini,best,10,1992217497
DTree,0.6904611497157296,gini,best,10,1044547599
DTree,0.6809854706253948,gini,best,10,897182733
DTree,0.691724573594441,gini,best,10,296370452
DTree,0.6816171825647505,gini,best,10,93958142
DTree,0.6873025900189513,gini,best,10,1140607228
DTree,0.6854074542008844,gini,best,10,1899681074
DTree,0.687934301958307,gini,best,10,1948313194
DTree,0.6866708780795957,gini,best,10,1804933304
DTree,0.6847757422615287,gini,best,10,1333030048
DTree,0.6860391661402401,gini,best,10,650637146
DTree,0.6614024005053696,gini,best,20,692874927
DTree,0.6664560960202148,gini,best,20,416495811
DTree,0.6639292482627922,gini,best,20,1743885667
DTree,0.6601389766266582,gini,best,20,519284835
DTree,0.6626658243840808,gini,best,20,1806380032
DTree,0.6525584333543903,gini,best,20,1791149135
DTree,0.660770688566014,gini,best,20,1928365453
DTree,0.6601389766266582,gini,best,20,281142220
DTree,0.6563487049905243,gini,best,20,976265100
DTree,0.6632975363234365,gini,best,20,1301118913
DTree,0.6601389766266582,gini,best,20,1824701669
DTree,0.6639292482627922,gini,best,20,633871865
DTree,0.6658243840808591,gini,best,20,933741706
DTree,0.65698041692988,gini,best,20,1194080354
DTree,0.6525584333543903,gini,best,20,161842654
DTree,0.6557169930511687,gini,best,20,1915113890
DTree,0.6626658243840808,gini,best,20,377011349
DTree,0.6576121288692356,gini,best,20,693655267
DTree,0.6506632975363235,gini,best,20,1467863091
DTree,0.655085281111813,gini,best,20,1357348953
DTree,0.6443461781427668,gini,best,30,1202598810
DTree,0.640555906506633,gini,best,30,189077260
DTree,0.6512950094756791,gini,best,30,788559266
DTree,0.6506632975363235,gini,best,30,1051413252
DTree,0.6481364497789008,gini,best,30,1547382723
DTree,0.6475047378395452,gini,best,30,1879353697
DTree,0.6500315855969678,gini,best,30,1427704079
DTree,0.6373973468098547,gini,best,30,1801770777
DTree,0.6399241945672773,gini,best,30,645170698
DTree,0.6411876184459886,gini,best,30,1877332958
DTree,0.6443461781427668,gini,best,30,1164411575
DTree,0.6506632975363235,gini,best,30,443454688
DTree,0.6493998736576121,gini,best,30,1477455582
DTree,0.6291850915982312,gini,best,30,1421429859
DTree,0.638660770688566,gini,best,30,1005339880
DTree,0.6512950094756791,gini,best,30,2142774898
DTree,0.6493998736576121,gini,best,30,226314227
DTree,0.6538218572331017,gini,best,30,285436361
DTree,0.6430827542640556,gini,best,30,420751524
DTree,0.6538218572331017,gini,best,30,922269551
DTree,0.638660770688566,gini,best,40,1982131410
DTree,0.638660770688566,gini,best,40,187114548
DTree,0.6493998736576121,gini,best,40,156374619
DTree,0.6373973468098547,gini,best,40,174195520
DTree,0.6411876184459886,gini,best,40,1851046348
DTree,0.6475047378395452,gini,best,40,1874367820
DTree,0.6392924826279217,gini,best,40,387677103
DTree,0.6462413139608338,gini,best,40,549643774
DTree,0.6449778900821226,gini,best,40,1034029222
DTree,0.6500315855969678,gini,best,40,1240929745
DTree,0.6411876184459886,gini,best,40,975090185
DTree,0.6424510423247,gini,best,40,1195354381
DTree,0.6456096020214782,gini,best,40,1484352643
DTree,0.640555906506633,gini,best,40,1285669848
DTree,0.6424510423247,gini,best,40,1040035464
DTree,0.6500315855969678,gini,best,40,1996373291
DTree,0.6493998736576121,gini,best,40,1224287122
DTree,0.6462413139608338,gini,best,40,797669905
DTree,0.640555906506633,gini,best,40,1176966240
DTree,0.6538218572331017,gini,best,40,1913143305
DTree,0.6443461781427668,gini,best,50,677732573
DTree,0.6512950094756791,gini,best,50,1238191960
DTree,0.6468730259001895,gini,best,50,1032705613
DTree,0.6475047378395452,gini,best,50,214893011
DTree,0.6512950094756791,gini,best,50,1560084676
DTree,0.6487681617182565,gini,best,50,559865410
DTree,0.6544535691724573,gini,best,50,926681614
DTree,0.6443461781427668,gini,best,50,852146817
DTree,0.6348704990524321,gini,best,50,2057486887
DTree,0.6544535691724573,gini,best,50,1673780018
DTree,0.6437144662034112,gini,best,50,947132227
DTree,0.6449778900821226,gini,best,50,278012199
DTree,0.6475047378395452,gini,best,50,1585851439
DTree,0.640555906506633,gini,best,50,1167107535
DTree,0.6506632975363235,gini,best,50,796175433
DTree,0.6411876184459886,gini,best,50,336372621
DTree,0.6487681617182565,gini,best,50,951232135
DTree,0.640555906506633,gini,best,50,130474475
DTree,0.6456096020214782,gini,best,50,756398688
DTree,0.638660770688566,gini,best,50,750815030
DTree,0.6399241945672773,gini,best,60,720685097
DTree,0.6481364497789008,gini,best,60,1448296236
DTree,0.638660770688566,gini,best,60,249407235
DTree,0.6475047378395452,gini,best,60,1178295145
DTree,0.6424510423247,gini,best,60,920357053
DTree,0.6348704990524321,gini,best,60,49915752
DTree,0.6487681617182565,gini,best,60,403079303
DTree,0.6449778900821226,gini,best,60,1897954526
DTree,0.6449778900821226,gini,best,60,407603587
DTree,0.6487681617182565,gini,best,60,1463985531
DTree,0.6411876184459886,gini,best,60,406465265
DTree,0.6462413139608338,gini,best,60,1756141617
DTree,0.6380290587492103,gini,best,60,54677417
DTree,0.6380290587492103,gini,best,60,331516362
DTree,0.6411876184459886,gini,best,60,60244211
DTree,0.6449778900821226,gini,best,60,1038147314
DTree,0.6481364497789008,gini,best,60,356362413
DTree,0.6361339229311433,gini,best,60,1268547317
DTree,0.6418193303853443,gini,best,60,51084069
DTree,0.6512950094756791,gini,best,60,1550370234
DTree,0.6468730259001895,gini,best,70,1333461538
DTree,0.6336070751737208,gini,best,70,1067655083
DTree,0.6500315855969678,gini,best,70,1295703250
DTree,0.6468730259001895,gini,best,70,708414218
DTree,0.6437144662034112,gini,best,70,31459331
DTree,0.6487681617182565,gini,best,70,1329155741
DTree,0.6462413139608338,gini,best,70,1086044472
DTree,0.6500315855969678,gini,best,70,212292205
DTree,0.6456096020214782,gini,best,70,150410223
DTree,0.6392924826279217,gini,best,70,1366129068
DTree,0.6355022109917877,gini,best,70,2112273689
DTree,0.6519267214150347,gini,best,70,1700509327
DTree,0.640555906506633,gini,best,70,95174375
DTree,0.6481364497789008,gini,best,70,1237978178
DTree,0.6468730259001895,gini,best,70,119925053
DTree,0.6449778900821226,gini,best,70,182821723
DTree,0.6430827542640556,gini,best,70,289355815
DTree,0.6531901452937461,gini,best,70,1616171283
DTree,0.6418193303853443,gini,best,70,744791123
DTree,0.6348704990524321,gini,best,70,1173823335
DTree,0.6348704990524321,gini,best,80,1831383860
DTree,0.6487681617182565,gini,best,80,304754986
DTree,0.6443461781427668,gini,best,80,1190923722
DTree,0.6361339229311433,gini,best,80,110043673
DTree,0.6373973468098547,gini,best,80,1535842059
DTree,0.6437144662034112,gini,best,80,1599813804
DTree,0.638660770688566,gini,best,80,45492738
DTree,0.640555906506633,gini,best,80,529174002
DTree,0.6519267214150347,gini,best,80,1073846104
DTree,0.6424510423247,gini,best,80,779256223
DTree,0.6399241945672773,gini,best,80,511404637
DTree,0.6380290587492103,gini,best,80,1654243145
DTree,0.6443461781427668,gini,best,80,2092508062
DTree,0.640555906506633,gini,best,80,1148026952
DTree,0.6456096020214782,gini,best,80,1311223195
DTree,0.6411876184459886,gini,best,80,580722117
DTree,0.6399241945672773,gini,best,80,1201401909
DTree,0.6493998736576121,gini,best,80,696207175
DTree,0.6456096020214782,gini,best,80,861581161
DTree,0.6424510423247,gini,best,80,2023387894
DTree,0.6481364497789008,gini,best,90,823427876
DTree,0.6449778900821226,gini,best,90,1030335535
DTree,0.6500315855969678,gini,best,90,465976036
DTree,0.6512950094756791,gini,best,90,1277283793
DTree,0.6481364497789008,gini,best,90,1983749920
DTree,0.6424510423247,gini,best,90,601020380
DTree,0.6500315855969678,gini,best,90,2068618511
DTree,0.6430827542640556,gini,best,90,2126706064
DTree,0.6399241945672773,gini,best,90,1308628216
DTree,0.6437144662034112,gini,best,90,1622405313
DTree,0.6500315855969678,gini,best,90,232369882
DTree,0.6380290587492103,gini,best,90,1147557962
DTree,0.6437144662034112,gini,best,90,973443282
DTree,0.6487681617182565,gini,best,90,357093166
DTree,0.6399241945672773,gini,best,90,153873438
DTree,0.640555906506633,gini,best,90,1564506506
DTree,0.6462413139608338,gini,best,90,172517469
DTree,0.6399241945672773,gini,best,90,1292380544
DTree,0.6493998736576121,gini,best,90,314909633
DTree,0.6512950094756791,gini,best,90,1687096744
DTree,0.6475047378395452,gini,best,100,1462856048
DTree,0.6493998736576121,gini,best,100,10028183
DTree,0.6392924826279217,gini,best,100,1199324620
DTree,0.6468730259001895,gini,best,100,1684681964
DTree,0.6411876184459886,gini,best,100,853528569
DTree,0.6475047378395452,gini,best,100,1704779219
DTree,0.6443461781427668,gini,best,100,417466866
DTree,0.6367656348704991,gini,best,100,1901563389
DTree,0.6462413139608338,gini,best,100,2072120860
DTree,0.6468730259001895,gini,best,100,45804996
DTree,0.6500315855969678,gini,best,100,2002443941
DTree,0.6462413139608338,gini,best,100,117814140
DTree,0.6481364497789008,gini,best,100,875330112
DTree,0.6449778900821226,gini,best,100,1114163280
DTree,0.6411876184459886,gini,best,100,1368753530
DTree,0.6487681617182565,gini,best,100,261801983
DTree,0.6475047378395452,gini,best,100,1712097830
DTree,0.6430827542640556,gini,best,100,766571877
DTree,0.6430827542640556,gini,best,100,779095869
DTree,0.6355022109917877,gini,best,100,1037339297
DTree,0.655085281111813,gini,best,,186791178
DTree,0.6342387871130765,gini,best,,88054945
DTree,0.6430827542640556,gini,best,,716174545
DTree,0.6487681617182565,gini,best,,1523503978
DTree,0.6443461781427668,gini,best,,1206502345
DTree,0.6468730259001895,gini,best,,1180632519
DTree,0.6443461781427668,gini,best,,1245476458
DTree,0.6392924826279217,gini,best,,1444452248
DTree,0.6449778900821226,gini,best,,174187117
DTree,0.6481364497789008,gini,best,,2121662451
DTree,0.6468730259001895,gini,best,,264605121
DTree,0.6557169930511687,gini,best,,1541785353
DTree,0.6506632975363235,gini,best,,275208751
DTree,0.638660770688566,gini,best,,1002636378
DTree,0.6456096020214782,gini,best,,570649866
DTree,0.6342387871130765,gini,best,,1901545225
DTree,0.6411876184459886,gini,best,,1390589038
DTree,0.6443461781427668,gini,best,,2142382270
DTree,0.6481364497789008,gini,best,,1329082062
DTree,0.6342387871130765,gini,best,,1025236082
DTree,0.7125710675931776,gini,random,10,1550835836
DTree,0.7220467466835123,gini,random,10,2034837222
DTree,0.7245735944409349,gini,random,10,915322751
DTree,0.7132027795325332,gini,random,10,1557113048
DTree,0.7018319646241314,gini,random,10,386187367
DTree,0.7258370183196462,gini,random,10,138179969
DTree,0.7233101705622236,gini,random,10,1993411913
DTree,0.7075173720783323,gini,random,10,1395502895
DTree,0.7302590018951358,gini,random,10,546748007
DTree,0.7315224257738471,gini,random,10,169690618
DTree,0.7125710675931776,gini,random,10,1777298987
DTree,0.7144662034112444,gini,random,10,413158940
DTree,0.7157296272899558,gini,random,10,1660550760
DTree,0.7283638660770688,gini,random,10,1236079330
DTree,0.7106759317751106,gini,random,10,1836389441
DTree,0.708149084017688,gini,random,10,1152156524
DTree,0.7403663929248263,gini,random,10,843976380
DTree,0.7182564750473784,gini,random,10,861669313
DTree,0.7138344914718888,gini,random,10,557686208
DTree,0.7245735944409349,gini,random,10,127422979
DTree,0.6689829437776375,gini,random,20,1856904037
DTree,0.6677195198989261,gini,random,20,430906289
DTree,0.6885660138976627,gini,random,20,2120688330
DTree,0.6664560960202148,gini,random,20,694828316
DTree,0.6854074542008844,gini,random,20,263771684
DTree,0.704358812381554,gini,random,20,381223686
DTree,0.6759317751105496,gini,random,20,1052448018
DTree,0.6639292482627922,gini,random,20,1500604227
DTree,0.6942514213518636,gini,random,20,1659714659
DTree,0.6475047378395452,gini,random,20,1228661429
DTree,0.6620341124447252,gini,random,20,631127949
DTree,0.689829437776374,gini,random,20,26364454
DTree,0.6822488945041061,gini,random,20,2084169854
DTree,0.6658243840808591,gini,random,20,1250163408
DTree,0.6740366392924826,gini,random,20,999861571
DTree,0.655085281111813,gini,random,20,1242629680
DTree,0.6835123183828175,gini,random,20,1133207007
DTree,0.6790903348073278,gini,random,20,861665761
DTree,0.6929879974731522,gini,random,20,866657009
DTree,0.677195198989261,gini,random,20,842063650
DTree,0.6487681617182565,gini,random,30,1338668166
DTree,0.6336070751737208,gini,random,30,1561846943
DTree,0.6538218572331017,gini,random,30,1719560912
DTree,0.6342387871130765,gini,random,30,761220033
DTree,0.6525584333543903,gini,random,30,351689950
DTree,0.6411876184459886,gini,random,30,748599160
DTree,0.65698041692988,gini,random,30,1576901738
DTree,0.6512950094756791,gini,random,30,1342030831
DTree,0.6481364497789008,gini,random,30,395180671
DTree,0.6373973468098547,gini,random,30,1745699368
DTree,0.6392924826279217,gini,random,30,1042891165
DTree,0.6253948199620973,gini,random,30,1504516361
DTree,0.6626658243840808,gini,random,30,749165495
DTree,0.6493998736576121,gini,random,30,1830580148
DTree,0.6462413139608338,gini,random,30,1993582589
DTree,0.6544535691724573,gini,random,30,1386970359
DTree,0.6531901452937461,gini,random,30,1240517837
DTree,0.6664560960202148,gini,random,30,175868379
DTree,0.6493998736576121,gini,random,30,375337177
DTree,0.6645609602021478,gini,random,30,483241428
DTree,0.6361339229311433,gini,random,40,1734723584
DTree,0.673404927353127,gini,random,40,805113042
DTree,0.6512950094756791,gini,random,40,487658105
DTree,0.6411876184459886,gini,random,40,42318994
DTree,0.6430827542640556,gini,random,40,1676390668
DTree,0.6614024005053696,gini,random,40,1920887736
DTree,0.6468730259001895,gini,random,40,1040767611
DTree,0.6601389766266582,gini,random,40,1676119699
DTree,0.6746683512318383,gini,random,40,1953240213
DTree,0.6563487049905243,gini,random,40,1161209266
DTree,0.655085281111813,gini,random,40,2070318089
DTree,0.6430827542640556,gini,random,40,714512203
DTree,0.6456096020214782,gini,random,40,1278833715
DTree,0.6576121288692356,gini,random,40,916423019
DTree,0.6639292482627922,gini,random,40,409571034
DTree,0.6475047378395452,gini,random,40,1662029018
DTree,0.6411876184459886,gini,random,40,1393154609
DTree,0.6462413139608338,gini,random,40,1502433421
DTree,0.6544535691724573,gini,random,40,290322654
DTree,0.6424510423247,gini,random,40,572934971
DTree,0.6487681617182565,gini,random,50,264117830
DTree,0.6443461781427668,gini,random,50,1115167698
DTree,0.6411876184459886,gini,random,50,1703333312
DTree,0.6462413139608338,gini,random,50,2138693564
DTree,0.6373973468098547,gini,random,50,872984510
DTree,0.6399241945672773,gini,random,50,1812314537
DTree,0.6456096020214782,gini,random,50,1286452754
DTree,0.6437144662034112,gini,random,50,1970631786
DTree,0.6557169930511687,gini,random,50,280890061
DTree,0.6437144662034112,gini,random,50,598239631
DTree,0.6373973468098547,gini,random,50,1844409199
DTree,0.6481364497789008,gini,random,50,616700449
DTree,0.6475047378395452,gini,random,50,2019815930
DTree,0.6519267214150347,gini,random,50,1411101379
DTree,0.640555906506633,gini,random,50,834687809
DTree,0.6380290587492103,gini,random,50,1529799066
DTree,0.6456096020214782,gini,random,50,1171958352
DTree,0.6317119393556538,gini,random,50,1852011035
DTree,0.6576121288692356,gini,random,50,1215224235
DTree,0.6317119393556538,gini,random,50,1588986273
DTree,0.6626658243840808,gini,random,60,549224906
DTree,0.6538218572331017,gini,random,60,465465256
DTree,0.6424510423247,gini,random,60,1562562264
DTree,0.6456096020214782,gini,random,60,1199877729
DTree,0.6639292482627922,gini,random,60,9165360
DTree,0.6582438408085913,gini,random,60,231787481
DTree,0.6576121288692356,gini,random,60,306700853
DTree,0.6519267214150347,gini,random,60,1223396944
DTree,0.6538218572331017,gini,random,60,275918090
DTree,0.6411876184459886,gini,random,60,749122490
DTree,0.6178142766898295,gini,random,60,823985694
DTree,0.6361339229311433,gini,random,60,1785423334
DTree,0.6266582438408086,gini,random,60,1307830188
DTree,0.6430827542640556,gini,random,60,256672877
DTree,0.6487681617182565,gini,random,60,440429520
DTree,0.6456096020214782,gini,random,60,1603056888
DTree,0.6683512318382817,gini,random,60,1612940638
DTree,0.6355022109917877,gini,random,60,1841726811
DTree,0.6348704990524321,gini,random,60,1965939858
DTree,0.65698041692988,gini,random,60,2073608876
DTree,0.6557169930511687,gini,random,70,1218487508
DTree,0.6234996841440303,gini,random,70,2058508581
DTree,0.6449778900821226,gini,random,70,1244146982
DTree,0.6456096020214782,gini,random,70,662834385
DTree,0.6576121288692356,gini,random,70,1074248817
DTree,0.655085281111813,gini,random,70,263495150
DTree,0.6519267214150347,gini,random,70,1013611457
DTree,0.6620341124447252,gini,random,70,543595655
DTree,0.6645609602021478,gini,random,70,1576981277
DTree,0.6582438408085913,gini,random,70,900962964
DTree,0.638660770688566,gini,random,70,100527545
DTree,0.6468730259001895,gini,random,70,1797905222
DTree,0.6392924826279217,gini,random,70,655975557
DTree,0.6506632975363235,gini,random,70,1373050123
DTree,0.6620341124447252,gini,random,70,1615600098
DTree,0.6430827542640556,gini,random,70,1228757290
DTree,0.6392924826279217,gini,random,70,548754322
DTree,0.6399241945672773,gini,random,70,1780527630
DTree,0.660770688566014,gini,random,70,1973707423
DTree,0.660770688566014,gini,random,70,193119880
DTree,0.6392924826279217,gini,random,80,278773917
DTree,0.6632975363234365,gini,random,80,143346375
DTree,0.6399241945672773,gini,random,80,295796917
DTree,0.6468730259001895,gini,random,80,1587223443
DTree,0.6468730259001895,gini,random,80,1186591684
DTree,0.6336070751737208,gini,random,80,74527376
DTree,0.6595072646873026,gini,random,80,716076685
DTree,0.6456096020214782,gini,random,80,1755787217
DTree,0.6462413139608338,gini,random,80,1535624589
DTree,0.6355022109917877,gini,random,80,1291528691
DTree,0.6361339229311433,gini,random,80,94240697
DTree,0.6462413139608338,gini,random,80,1387648942
DTree,0.6493998736576121,gini,random,80,898750736
DTree,0.6373973468098547,gini,random,80,1371723436
DTree,0.6392924826279217,gini,random,80,692847350
DTree,0.6424510423247,gini,random,80,1219861231
DTree,0.6373973468098547,gini,random,80,628375114
DTree,0.6512950094756791,gini,random,80,861221022
DTree,0.640555906506633,gini,random,80,1412051758
DTree,0.624131396083386,gini,random,80,1606748967
DTree,0.6500315855969678,gini,random,90,951071453
DTree,0.6399241945672773,gini,random,90,512315570
DTree,0.638660770688566,gini,random,90,1232508270
DTree,0.6475047378395452,gini,random,90,31612424
DTree,0.6664560960202148,gini,random,90,246748498
DTree,0.6342387871130765,gini,random,90,1490348756
DTree,0.638660770688566,gini,random,90,1981727058
DTree,0.6601389766266582,gini,random,90,1237347378
DTree,0.6475047378395452,gini,random,90,2004259399
DTree,0.6525584333543903,gini,random,90,1933608073
DTree,0.6424510423247,gini,random,90,833929774
DTree,0.6475047378395452,gini,random,90,574247643
DTree,0.6645609602021478,gini,random,90,1098732879
DTree,0.6531901452937461,gini,random,90,2084580699
DTree,0.6576121288692356,gini,random,90,534828117
DTree,0.6620341124447252,gini,random,90,622132012
DTree,0.6430827542640556,gini,random,90,1714681375
DTree,0.6329753632343651,gini,random,90,1866292727
DTree,0.6449778900821226,gini,random,90,818430062
DTree,0.6525584333543903,gini,random,90,717894181
DTree,0.6557169930511687,gini,random,100,611490104
DTree,0.6418193303853443,gini,random,100,581980696
DTree,0.6140240050536955,gini,random,100,1386512708
DTree,0.6475047378395452,gini,random,100,1321070933
DTree,0.6563487049905243,gini,random,100,117829712
DTree,0.655085281111813,gini,random,100,648457539
DTree,0.6506632975363235,gini,random,100,891473894
DTree,0.6544535691724573,gini,random,100,707296638
DTree,0.6392924826279217,gini,random,100,77147989
DTree,0.6373973468098547,gini,random,100,1447997085
DTree,0.6418193303853443,gini,random,100,1180694517
DTree,0.6424510423247,gini,random,100,1982354530
DTree,0.6531901452937461,gini,random,100,1593664170
DTree,0.6462413139608338,gini,random,100,1369613838
DTree,0.6348704990524321,gini,random,100,1439013152
DTree,0.638660770688566,gini,random,100,946363113
DTree,0.6544535691724573,gini,random,100,1684503347
DTree,0.6392924826279217,gini,random,100,1628323570
DTree,0.6519267214150347,gini,random,100,1087814927
DTree,0.6298168035375868,gini,random,100,1427677831
DTree,0.6430827542640556,gini,random,,545538894
DTree,0.6443461781427668,gini,random,,1162691463
DTree,0.6475047378395452,gini,random,,1428659259
DTree,0.6310802274162982,gini,random,,802324617
DTree,0.6544535691724573,gini,random,,820196698
DTree,0.6563487049905243,gini,random,,2137843468
DTree,0.638660770688566,gini,random,,1574656225
DTree,0.6481364497789008,gini,random,,809811531
DTree,0.6373973468098547,gini,random,,1922491313
DTree,0.6696146557169931,gini,random,,1079338574
DTree,0.6468730259001895,gini,random,,1897118243
DTree,0.6348704990524321,gini,random,,1770866259
DTree,0.6462413139608338,gini,random,,1219745727
DTree,0.6437144662034112,gini,random,,1678886502
DTree,0.6380290587492103,gini,random,,1383812054
DTree,0.6481364497789008,gini,random,,333038054
DTree,0.6418193303853443,gini,random,,1344491561
DTree,0.6475047378395452,gini,random,,338772751
DTree,0.6544535691724573,gini,random,,546119334
DTree,0.6304485154769425,gini,random,,2108161132
DTree,0.677195198989261,entropy,best,10,87326255
DTree,0.6746683512318383,entropy,best,10,1808785906
DTree,0.6784586228679722,entropy,best,10,960350066
DTree,0.6759317751105496,entropy,best,10,856032464
DTree,0.6828806064434618,entropy,best,10,610391237
DTree,0.6727732154137713,entropy,best,10,1599052670
DTree,0.675300063171194,entropy,best,10,1740524995
DTree,0.6797220467466835,entropy,best,10,1887721154
DTree,0.6847757422615287,entropy,best,10,794425472
DTree,0.6746683512318383,entropy,best,10,2059170466
DTree,0.6816171825647505,entropy,best,10,390048959
DTree,0.6778269109286166,entropy,best,10,523594839
DTree,0.6765634870499052,entropy,best,10,931196400
DTree,0.6683512318382817,entropy,best,10,1272367978
DTree,0.6816171825647505,entropy,best,10,117286566
